SEX,INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,SEATS_NUM,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
0,08-Jul-17,07-Jul-18,11,1202,350000,4453.75,5000036798,1998,4,7,Pick-up,2499,MAZDA,Own Goods,
0,08-Jul-16,07-Jul-17,11,1202,350000,4650.2,5000036798,1998,4,7,Pick-up,2499,MAZDA,Own Goods,
0,08-Jul-15,07-Jul-16,11,1202,350000,4657.1,5000036798,1998,4,7,Pick-up,2499,MAZDA,Own Goods,
0,08-Jul-14,07-Jul-15,11,1202,350000,4657.1,5000036798,1998,4,7,Pick-up,2499,MAZDA,Own Goods,
0,08-Jul-17,07-Jul-18,11,1202,400000,4986.98,5000036799,1997,4,7,Pick-up,2495,LANDROVER,Own Goods,
0,08-Jul-16,07-Jul-17,11,1202,400000,5211.5,5000036799,1997,4,7,Pick-up,2495,LANDROVER,Own Goods,9000
0,08-Jul-15,07-Jul-16,11,1202,400000,5218.4,5000036799,1997,4,7,Pick-up,2495,LANDROVER,Own Goods,
0,08-Jul-14,07-Jul-15,11,1202,400000,5218.4,5000036799,1997,4,7,Pick-up,2495,LANDROVER,Own Goods,
0,08-Jul-17,07-Jul-18,11,1202,322500,4160.47,5000036802,1998,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-16,07-Jul-17,11,1202,322500,4341.49,5000036802,1998,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-15,07-Jul-16,11,1202,322500,4353.39,5000036802,1998,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-14,07-Jul-15,11,1202,322500,4353.39,5000036802,1998,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-15,07-Jul-16,11,1202,0,1229.12,5000036804,2002,4,7,Pick-up,2800,TOYOTA,Own Goods,
0,08-Jul-15,07-Jul-16,11,1202,600000,7397.6,5000036804,2002,4,7,Pick-up,2800,TOYOTA,Own Goods,
0,08-Jul-14,07-Jul-15,11,1202,600000,7397.6,5000036804,2002,4,7,Pick-up,2800,TOYOTA,Own Goods,356672
0,08-Jul-14,07-Jul-15,11,1202,0,1229.12,5000036804,2002,4,7,Pick-up,2800,TOYOTA,Own Goods,
0,08-Jul-17,07-Jul-18,11,1202,525000,7808.37,5000036815,1988,27,0,Bus,3291,NISSAN,Own service,
0,08-Jul-16,07-Jul-17,11,1202,525000,8103.05,5000036815,1988,27,0,Bus,3291,NISSAN,Own service,
0,08-Jul-15,07-Jul-16,11,1202,525000,8109.95,5000036815,1988,27,0,Bus,3291,NISSAN,Own service,
0,08-Jul-14,07-Jul-15,11,1202,525000,8109.95,5000036815,1988,27,0,Bus,3291,NISSAN,Own service,
0,08-Jul-17,07-Jul-18,11,1202,100000,3891.87,5000036817,1977,44,0,Bus,5184,FIAT,Own service,
0,08-Jul-16,07-Jul-17,11,1202,100000,3948,5000036817,1977,44,0,Bus,5184,FIAT,Own service,
0,08-Jul-14,07-Jul-15,11,1202,200000,5077.5,5000036817,1977,44,0,Bus,5184,FIAT,Own service,
0,08-Jul-17,07-Jul-18,11,1202,1500000,19610.05,5000036818,1990,60,0,Bus,6700,VOLVO,Own service,
0,08-Jul-16,07-Jul-17,11,1202,1500000,20452,5000036818,1990,60,0,Bus,6700,VOLVO,Own service,
0,08-Jul-15,07-Jul-16,11,1202,1500000,20458.9,5000036818,1990,60,0,Bus,6700,VOLVO,Own service,
0,08-Jul-14,07-Jul-15,11,1202,1500000,20458.9,5000036818,1990,60,0,Bus,6700,VOLVO,Own service,
0,08-Jul-17,07-Jul-18,11,1202,1500000,19610.05,5000036821,1987,60,0,Bus,6700,VOLVO,Own service,
0,08-Jul-16,07-Jul-17,11,1202,1500000,20452,5000036821,1987,60,0,Bus,6700,VOLVO,Own service,
0,08-Jul-15,07-Jul-16,11,1202,1500000,20458.9,5000036821,1987,60,0,Bus,6700,VOLVO,Own service,
0,08-Jul-14,07-Jul-15,11,1202,1500000,20458.9,5000036821,1987,60,0,Bus,6700,VOLVO,Own service,
0,08-Jul-17,07-Jul-18,11,1202,1000000,12874.1,5000036824,2000,27,0,Bus,4214,MITSUBISHI,Own service,
0,08-Jul-16,07-Jul-17,11,1202,1000000,13435.4,5000036824,2000,27,0,Bus,4214,MITSUBISHI,Own service,
0,08-Jul-15,07-Jul-16,11,1202,1000000,13442.3,5000036824,2000,27,0,Bus,4214,MITSUBISHI,Own service,
0,08-Jul-14,07-Jul-15,11,1202,1000000,13442.3,5000036824,2000,27,0,Bus,4214,MITSUBISHI,Own service,
0,08-Jul-17,07-Jul-18,11,1202,600000,8608.22,5000036825,1996,27,0,Bus,3980,TOYOTA,Own service,
0,08-Jul-16,07-Jul-17,11,1202,600000,8945,5000036825,1996,27,0,Bus,3980,TOYOTA,Own service,
0,08-Jul-15,07-Jul-16,11,1202,600000,8951.9,5000036825,1996,27,0,Bus,3980,TOYOTA,Own service,
0,08-Jul-14,07-Jul-15,11,1202,600000,8951.9,5000036825,1996,27,0,Bus,3980,TOYOTA,Own service,
0,08-Jul-17,07-Jul-18,11,1202,750000,10207.93,5000036827,1999,27,0,Bus,3908,IVECO,Own service,
0,08-Jul-16,07-Jul-17,11,1202,750000,10628.9,5000036827,1999,27,0,Bus,3908,IVECO,Own service,
0,08-Jul-15,07-Jul-16,11,1202,750000,10635.8,5000036827,1999,27,0,Bus,3908,IVECO,Own service,
0,08-Jul-14,07-Jul-15,11,1202,750000,10635.8,5000036827,1999,27,0,Bus,3908,IVECO,Own service,
0,08-Jul-17,07-Jul-18,11,1202,450000,6044.92,5000036830,2001,11,0,Bus,1998,TOYOTA,Own service,
0,08-Jul-16,07-Jul-17,11,1202,450000,6297.5,5000036830,2001,11,0,Bus,1998,TOYOTA,Own service,
0,08-Jul-15,07-Jul-16,11,1202,450000,6304.4,5000036830,2001,11,0,Bus,1998,TOYOTA,Own service,
0,08-Jul-14,07-Jul-15,11,1202,450000,6304.4,5000036830,2001,11,0,Bus,1998,TOYOTA,Own service,
0,08-Jul-17,07-Jul-18,16,1202,400000,2144.05,5000036832,1983,24,0,Bus,2367,TOYOTA,Own service,
0,08-Jul-16,07-Jul-17,16,1202,400000,1268.45,5000036832,1983,24,0,Bus,2367,TOYOTA,Own service,
0,08-Jul-15,07-Jul-16,11,1202,400000,5743.1,5000036832,1983,24,0,Bus,2367,TOYOTA,Own service,
0,08-Jul-14,07-Jul-15,11,1202,400000,5743.1,5000036832,1983,24,0,Bus,2367,TOYOTA,Own service,
0,08-Jul-17,07-Jul-18,11,1202,322500,4160.47,5000036833,2000,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-16,07-Jul-17,11,1202,322500,4341.49,5000036833,2000,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-15,07-Jul-16,11,1202,322500,4348.39,5000036833,2000,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-14,07-Jul-15,11,1202,322500,4348.39,5000036833,2000,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-17,07-Jul-18,16,1202,322500,4161.12,5000036835,1998,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-16,07-Jul-17,16,1202,322500,4364.14,5000036835,1998,4,7,Pick-up,2499,ISUZU,Own Goods,17022
0,08-Jul-15,07-Jul-16,11,1202,322500,4348.39,5000036835,1998,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-14,07-Jul-15,11,1202,322500,4348.39,5000036835,1998,4,7,Pick-up,2499,ISUZU,Own Goods,
0,08-Jul-17,07-Jul-18,16,1202,600000,7054.57,5000036836,1998,4,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-16,07-Jul-17,16,1202,600000,6970.75,5000036836,1998,4,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-15,07-Jul-16,11,1202,900000,10765.4,5000036836,1998,4,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-14,07-Jul-15,11,1202,900000,10765.4,5000036836,1998,4,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-17,07-Jul-18,11,1202,322500,4160.47,5000036839,1998,4,7,Pick-up,2500,ISUZU,Own Goods,
0,08-Jul-16,07-Jul-17,11,1202,322500,4341.49,5000036839,1998,4,7,Pick-up,2500,ISUZU,Own Goods,
0,08-Jul-15,07-Jul-16,11,1202,322500,4348.39,5000036839,1998,4,7,Pick-up,2500,ISUZU,Own Goods,
0,08-Jul-14,07-Jul-15,11,1202,322500,4348.39,5000036839,1998,4,7,Pick-up,2500,ISUZU,Own Goods,
1,09-Jul-15,08-Jul-16,13,1202,2000000,43880.98,5000033159,2008,0,251,Trailers and semitrailers,0,ZX-TOP,General Cartage,1862259
1,09-Jul-14,08-Jul-15,13,1202,2000000,44906.92,5000033159,2008,0,251,Trailers and semitrailers,0,ZX-TOP,General Cartage,
1,06-Jan-18,05-Jan-19,16,1202,400000,10525.61,5000033161,2005,0,226,Trailers and semitrailers,0,MESFIN,General Cartage,
1,06-Jan-17,05-Jan-18,16,1202,400000,7870.44,5000033161,2005,0,226,Trailers and semitrailers,0,MESFIN,General Cartage,47000
1,06-Jan-16,05-Jan-17,16,1202,400000,8213.74,5000033161,2005,0,226,Trailers and semitrailers,0,MESFIN,General Cartage,
1,09-Jul-15,08-Jul-16,13,1202,500000,10766.62,5000033161,2005,0,226,Trailers and semitrailers,0,MESFIN,General Cartage,
1,09-Jul-14,08-Jul-15,13,1202,500000,11270.7,5000033161,2005,0,226,Trailers and semitrailers,0,MESFIN,General Cartage,
1,17-Oct-17,16-Oct-18,6,1202,1368500,28529.57,5000033190,2006,0,180,Truck,0,IVECO,General Cartage,
1,17-Oct-16,16-Oct-17,6,1202,1368500,30175.11,5000033190,2006,0,180,Truck,0,IVECO,General Cartage,
1,17-Oct-15,16-Oct-16,6,1202,1368500,29670.07,5000033190,2006,0,180,Truck,0,IVECO,General Cartage,
1,17-Oct-14,16-Oct-15,6,1202,1368500,22932.41,5000033190,2006,0,180,Truck,0,IVECO,General Cartage,
1,17-Oct-17,16-Oct-18,6,1202,312750,6456.36,5000033193,2006,0,220,Trailers and semitrailers,0,MESFIN,General Cartage,
1,17-Oct-16,16-Oct-17,6,1202,312750,6882.7,5000033193,2006,0,220,Trailers and semitrailers,0,MESFIN,General Cartage,
1,17-Oct-15,16-Oct-16,6,1202,312750,6592.32,5000033193,2006,0,220,Trailers and semitrailers,0,MESFIN,General Cartage,
1,17-Oct-14,16-Oct-15,6,1202,312750,4941.12,5000033193,2006,0,220,Trailers and semitrailers,0,MESFIN,General Cartage,
0,24-Sep-17,23-Sep-18,11,1201,2800000,30478.45,5000037668,2008,4,,Station Wagones,1794,TOYOTA,Private,29700
0,24-Sep-16,23-Sep-17,11,1201,1300000,15285.85,5000037668,2008,4,,Station Wagones,1794,TOYOTA,Private,
0,24-Sep-15,23-Sep-16,11,1201,1300000,15285.85,5000037668,2008,4,,Station Wagones,1794,TOYOTA,Private,
0,24-Sep-14,23-Sep-15,11,1201,359950,4732.85,5000037668,2008,4,,Station Wagones,1794,TOYOTA,Private,
0,24-Sep-17,23-Sep-18,11,1201,2800000,30656.65,5000037771,2008,6,,Station Wagones,4467,TOYOTA,Private,
0,24-Sep-16,23-Sep-17,11,1201,2800000,32303.05,5000037771,2008,6,,Station Wagones,4467,TOYOTA,Private,
0,24-Sep-15,23-Sep-16,11,1201,2800000,32303.05,5000037771,2008,6,,Station Wagones,4467,TOYOTA,Private,
0,24-Sep-14,23-Sep-15,11,1201,1621995,19078.77,5000037771,2008,6,,Station Wagones,4467,TOYOTA,Private,143186.3
0,24-Sep-14,23-Sep-15,11,1201,35916.34,656.185,5000037776,2008,1,,Motor-cycle,125,YAMAHA,Private,
0,08-Jul-17,07-Jul-18,11,1201,1050000,12133.54,5000039510,2001,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-16,07-Jul-17,11,1201,1050000,12722.9,5000039510,2001,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-15,07-Jul-16,11,1201,1050000,12729.8,5000039510,2001,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-14,07-Jul-15,11,1201,1050000,12729.8,5000039510,2001,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-17,07-Jul-18,11,1201,525000,6489.47,5000039513,1989,9,,Station Wagones,3980,TOYOTA,Private,
0,08-Jul-16,07-Jul-17,11,1201,525000,6784.15,5000039513,1989,9,,Station Wagones,3980,TOYOTA,Private,
0,08-Jul-15,07-Jul-16,11,1201,525000,6791.05,5000039513,1989,9,,Station Wagones,3980,TOYOTA,Private,
0,08-Jul-14,07-Jul-15,11,1201,525000,6791.05,5000039513,1989,9,,Station Wagones,3980,TOYOTA,Private,
0,08-Jul-17,07-Jul-18,11,1201,1100000,12666.77,5000039514,2000,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-16,07-Jul-17,11,1201,1100000,13284.2,5000039514,2000,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-15,07-Jul-16,11,1201,1100000,13291.1,5000039514,2000,9,,Station Wagones,4164,TOYOTA,Private,58433
0,08-Jul-14,07-Jul-15,11,1201,1100000,13291.1,5000039514,2000,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-17,07-Jul-18,11,1201,1100000,12666.77,5000039515,2001,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-16,07-Jul-17,11,1201,1100000,13284.2,5000039515,2001,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-15,07-Jul-16,11,1201,1100000,13291.1,5000039515,2001,9,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-14,07-Jul-15,11,1201,1100000,13291.1,5000039515,2001,9,,Station Wagones,4164,TOYOTA,Private,53850.95
0,08-Jul-17,07-Jul-18,11,1201,60000,856.08,5000039517,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-16,07-Jul-17,11,1201,60000,889.76,5000039517,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-15,07-Jul-16,11,1201,60000,896.66,5000039517,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-14,07-Jul-15,11,1201,60000,896.66,5000039517,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-15,07-Jul-16,11,1201,50000,786.6,5000039527,1983,1,,Motor-cycle,171,SUZUKI,Private,
0,08-Jul-14,07-Jul-15,11,1201,50000,786.6,5000039527,1983,1,,Motor-cycle,171,SUZUKI,Private,
0,08-Jul-17,07-Jul-18,11,1201,60000,856.08,5000039559,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-16,07-Jul-17,11,1201,60000,889.76,5000039559,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-15,07-Jul-16,11,1201,60000,896.66,5000039559,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-14,07-Jul-15,11,1201,60000,896.66,5000039559,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-17,07-Jul-18,11,1201,60000,886.99,5000039568,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-16,07-Jul-17,11,1201,60000,920.67,5000039568,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-15,07-Jul-16,11,1201,60000,927.57,5000039568,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-14,07-Jul-15,11,1201,60000,896.66,5000039568,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-15,07-Jul-16,11,1201,60000,927.57,5000039570,2008,1,,Motor-cycle,175,YAMAHA,Private,
0,08-Jul-14,07-Jul-15,11,1201,60000,896.66,5000039570,2008,1,,Motor-cycle,175,YAMAHA,Private,
0,08-Jul-17,07-Jul-18,11,1201,900000,10533.83,5000039571,2005,9,,Station Wagones,4477,TOYOTA,Private,
0,08-Jul-16,07-Jul-17,11,1201,900000,11039,5000039571,2005,9,,Station Wagones,4477,TOYOTA,Private,
0,08-Jul-15,07-Jul-16,11,1201,900000,11045.9,5000039571,2005,9,,Station Wagones,4477,TOYOTA,Private,
0,08-Jul-14,07-Jul-15,11,1201,900000,11045.9,5000039571,2005,9,,Station Wagones,4477,TOYOTA,Private,22882.68
0,08-Jul-15,07-Jul-16,11,1201,50000,784.4,5000039695,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-14,07-Jul-15,11,1201,50000,784.4,5000039695,2008,1,,Motor-cycle,175,SUZUKI,Private,
0,08-Jul-15,07-Jul-16,11,1201,300000,3993.85,5000040993,1993,5,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-15,07-Jul-16,11,1201,310000,4328.31,5000040995,1992,5,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-14,07-Jul-15,11,1201,310000,4328.31,5000040995,1992,5,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-16,07-Jul-17,11,1201,240000,3364.29,5000040997,1992,5,,Automobile,1559,SUZUKI,Private,
0,08-Jul-15,07-Jul-16,11,1201,240000,3364.29,5000040997,1992,5,,Automobile,1559,SUZUKI,Private,
0,08-Jul-14,07-Jul-15,11,1201,240000,3364.29,5000040997,1992,5,,Automobile,1559,SUZUKI,Private,
0,08-Jul-15,07-Jul-16,11,1201,240000,3364.29,5000040999,1992,5,,Automobile,1559,SUZUKI,Private,
0,08-Jul-14,07-Jul-15,11,1201,240000,3364.29,5000040999,1992,5,,Automobile,1559,SUZUKI,Private,
0,07-Jul-16,06-Jul-17,15,1202,0,677.75,5000041001,1980,2,8,Pick-up,3980,TOYOTA,Own Goods,
0,04-Feb-16,06-Jul-16,16,1202,0,682.75,5000041001,1980,2,8,Pick-up,3980,TOYOTA,Own Goods,
0,08-Jul-14,07-Jul-15,13,1201,250000,4032.25,5000041001,1980,2,8,Pick-up,3980,TOYOTA,Own Goods,
0,08-Jul-15,07-Jul-16,13,1201,550736.35,8891.725,5000041002,1981,8,,Station Wagones,4161,TOYOTA,Private,
0,08-Jul-14,07-Jul-15,13,1201,550736.35,7783.03,5000041002,1981,8,,Station Wagones,4161,TOYOTA,Private,
0,08-Jul-17,07-Jul-18,11,1201,240000,3223.17,5000041003,1992,4,,Automobile,1559,SUZUKI,Private,
0,08-Jul-16,07-Jul-17,11,1201,240000,3364.29,5000041003,1992,4,,Automobile,1559,SUZUKI,Private,
0,08-Jul-15,07-Jul-16,11,1201,240000,3364.29,5000041003,1992,4,,Automobile,1559,SUZUKI,Private,
0,08-Jul-14,07-Jul-15,11,1201,240000,3364.29,5000041003,1992,4,,Automobile,1559,SUZUKI,Private,
0,11-Jul-17,10-Jul-18,17,1201,0,919.25,5000041006,1984,8,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-16,07-Jul-17,13,1201,500781.24,8175.235,5000041006,1984,8,,Station Wagones,4164,TOYOTA,Private,234073.46
0,08-Jul-15,07-Jul-16,13,1201,500781.24,8175.235,5000041006,1984,8,,Station Wagones,4164,TOYOTA,Private,
0,08-Jul-14,07-Jul-15,13,1201,500781.24,7159.99,5000041006,1984,8,,Station Wagones,4164,TOYOTA,Private,124838
0,27-Jul-17,26-Jul-18,14,1201,0,848.25,5000041008,1981,5,,Station Wagones,4164,TOYOTA,Private,
0,12-Jul-16,11-Jul-17,14,1201,0,848.25,5000041008,1981,5,,Station Wagones,4164,TOYOTA,Private,
0,05-Jul-14,04-Jul-15,14,1201,250000,4032.25,5000041008,1981,5,,Station Wagones,4164,TOYOTA,Private,
0,15-Jun-18,14-Jun-19,13,1201,500000,12282.15,5000041014,1987,8,,Station Wagones,4164,TOYOTA,Private,
0,15-Jun-17,14-Jun-18,13,1201,500000,14585.45,5000041014,1987,8,,Station Wagones,4164,TOYOTA,Private,
0,15-Jun-16,14-Jun-17,13,1201,500000,2718.1,5000041014,1987,8,,Station Wagones,4164,TOYOTA,Private,
0,15-Jun-15,14-Jun-16,13,1201,247000,3687.07,5000041014,1987,8,,Station Wagones,4164,TOYOTA,Private,736417.36
0,08-Jul-17,07-Jul-18,11,1202,700000,10358.33,5000041017,2000,2,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-16,07-Jul-17,11,1202,700000,8535.95,5000041017,2000,2,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-15,07-Jul-16,11,1202,470000,5953.97,5000041017,2000,2,10,Pick-up,4164,TOYOTA,Own Goods,
0,08-Jul-14,07-Jul-15,11,1202,460000,5841.71,5000041017,2000,2,10,Pick-up,4164,TOYOTA,Own Goods,18000
0,27-Jul-17,26-Jul-18,14,1201,0,759.15,5000041023,1981,5,0,Station Wagones,2900,TOYOTA,Private,
0,05-Jul-14,04-Jul-15,14,1201,300000,4655.85,5000041023,1981,5,0,Station Wagones,2900,TOYOTA,Private,
0,09-Jul-17,08-Jul-18,17,1201,900000,14356.77,5000041021,2001,8,8,Station Wagones,4164,LAND CRUISER,Private,
2,23-Dec-17,22-Dec-18,72,1201,0,541.3,5000041024,1990,4,,Automobile,1295,TOYOTA,Private,
2,23-Dec-16,22-Dec-17,72,1201,0,541.3,5000041024,1990,4,,Automobile,1295,TOYOTA,Private,
2,23-Dec-15,22-Dec-16,72,1201,0,548.2,5000041024,1990,4,,Automobile,1295,TOYOTA,Private,
